ticid|dr2_source_id|dr3_source_id|angular_distance|magnitude_difference|dr3_ra|dr3_dec|tic8_Tmag|dr3_dist_pc|dr3_bp_rp|dr3_ruwe|period|assoc|age|teff_sedfit|teff_sedfit_perr|teff_sedfit_merr|rstar_sedfit|rstar_sedfit_perr|rstar_sedfit_merr|mass_parsec|mass_parsec_perr|mass_parsec_merr|Rcr_over_Rstar|P2_hr|quality|binarityflag|N_sectors
141306513|5179619856194590080|5179619856194590080|0.07845625|-0.032571793|45.10808|-7.78206|13.65|50.2|3.404|1.08|13.36|THA|45.0|2930|52|44|0.32|0.01|0.01|0.16|0.01|0.01|4.79|-|1|000|2
201789285|4742436853122727040|4742436853122727040|0.1251596|-0.029885292|33.88943|-56.45493|14.03|45.4|3.825|1.19|3.64|THA|45.0|2754|54|58|0.3|0.02|0.02|0.12|0.01|0.01|1.99|-|1|000|5
294328887|5485498390406148736|5485498390406148736|0.14709204|-0.023478508|108.97848|-59.3415|14.23|97.1|3.222|1.05|8.51|CARN|200.0|2998|34|69|0.45|0.02|0.01|0.35|0.02|0.08|3.32|-|1|000|35
312410638|6090854651891034496|6090854651891034496|0.03343989|-0.02676773|210.44269|-50.2603|14.3|136.9|3.12|1.09|28.06|UCL|16.0|3049|51|64|0.58|0.03|0.02|0.25|0.04|0.01|5.11|-|1|000|3
38539720|3244410500033689728|3244410500033689728|0.24145906|-0.021932602|56.10631|-6.24659|14.52|129.4|3.368|1.2|9.16|PERI|120.0|2952|48|32|0.56|0.01|0.02|0.27|0.02|0.03|2.57|-|1|000|1
359892714|5841324542416019712|5841324542416019712|0.23060314|-0.019618988|185.70196|-74.17238|14.53|95.5|4.042|1.07|11.33|EPSC|3.7|2669|47|59|0.56|0.03|0.02|0.13|0.02|0.01|2.34|-|1|000|6
118769116|3411342134934571520|3411342134934571520|0.17092355|-0.02494049|70.22262|20.92957|14.58|119.0|3.599|1.13|8.56|TAU|2.0|2845|44|30|0.55|0.02|0.01|0.18|0.01|0.01|2.18|-|1|000|4
440725886|63661521387693824|63661521387693824|0.04273698|-0.021800995|58.24225|21.424|14.69|135.1|2.964|1.06|3.92|PLE|112.0|3117|74|60|0.45|0.02|0.02|0.35|0.05|0.02|1.98|-|1|000|5
397791443|5239135492911437568|5239135492911437568|0.09914524|-0.028964996|159.53777|-66.54566|15.01|151.1|3.105|1.06|6.95|IC2602|46.0|3023|67|64|0.48|0.02|0.03|0.26|0.03|0.02|2.45|-|1|000|6
160329609|2886233695250041216|2886233695250041216|0.2582205|0.002708435|91.21743|-34.55841|9.65|8.7|3.4|1.18|24.31|ARG|45.0|2913|56|46|0.35|0.02|0.01|0.16|0.01|0.01|6.62|-|0|000|3
